ra,dec,objID,run,rerun,camcol,field,name,z
0.448491078268319,-3.87984897415513,1237672841744810740,6372,301,3,89,J000147.64-035247.4,5.27
0.637184940609131,13.2427101903681,1237678860082480175,7773,301,5,314,J000232.92+131433.7,5.82
1.26563421096904,21.7517002013118,1237680297281651603,8108,301,2,249,J000503.75+214506.1,5.36
1.58075241423762,13.6137593998749,1237678860619809725,7773,301,6,321,J000619.38+133649.6,4.86
2.32501254652117,-10.28972311329,1237652900212245358,1729,301,3,98,J000918.00-101723.0,5.33
2.66681874929333,11.9731850521952,1237678858472718977,7773,301,2,327,J001040.04+115823.4,5.44
2.9561389720443,7.7557088590927,1237669702655803974,5641,301,4,16,J001149.47+074520.5,4.92
4.64583615834101,8.26654563894708,1237669703193395965,5641,301,5,27,J001835.00+081559.4,5.34
4.80058188589334,4.59763033112184,1237678661426086509,7727,301,3,98,J001912.13+043551.3,5.03
6.63943119057507,16.4937505580611,1237678600234271776,7713,301,1,273,J002633.47+162937.5,5.1
6.64007863062665,25.2814246239513,1237680070706922405,8055,301,4,17,J002633.61+251653.1,5.06
7.48551304730017,29.1534223931742,1237680331643028074,8116,301,2,274,J002956.51+290912.4,4.92
7.99531952319876,14.8281871365384,1237649863666303608,1022,301,3,36,J003158.87+144941.4,4.85
8.46083480460652,2.59971447272795,1237678619032158836,7717,301,4,386,J003350.60+023559.0,4.86
8.75967068545609,-2.53162032584608,1237657066325738493,2699,301,3,25,J003502.32-023153.9,4.62
9.88783462766708,31.2880615607946,1237680309622277247,8111,301,1,136,J003933.07+311717.0,4.87
11.093177276328,17.0856214887267,1237679168227115652,7845,301,3,20,J004422.36+170508.2,4.78
12.5093897543949,11.0687525481131,1237678834830148309,7767,301,6,18,J005002.24+110407.5,5.06
14.2457952999535,-5.14051229621874,1237679078058426993,7824,301,3,411,J005658.99-050825.7,4.82
14.5607378241122,3.8727995400235,1237678660356604693,7727,301,1,163,J005814.57+035222.0,4.87
15.2653232826932,3.43600270751737,1237678620108849777,7717,301,6,431,J010103.68+032609.6,4.89
15.9802218709743,3.83845141697668,1237678660357259888,7727,301,1,173,J010355.25+035018.5,4.96
18.3272745175375,6.10770918770412,1237678802084692669,7760,301,1,74,J011318.55+060627.7,5.19
18.5404338769486,3.40234274176691,1237678620110292003,7717,301,6,453,J011409.71+032408.4,5.04
18.9504410008658,26.3333046368953,1237666090593616436,4800,301,4,97,J011548.10+262000.0,5.33
19.7223505352256,22.1762781779011,1237679478015132391,7917,301,4,226,J011853.37+221034.6,4.81
20.1753983333426,8.5544217962096,1237678905180619520,7784,301,1,329,J012042.09+083315.9,5.01
20.3076908503375,11.2204224149448,1237678857943450518,7773,301,1,443,J012113.85+111313.6,4.67
20.3417431541212,22.4754739131673,1237679478552265530,7917,301,5,230,J012122.02+222831.7,5.07
21.6440780929785,28.2049798865958,1237680331648467502,8116,301,2,357,J012634.58+281217.9,4.74
22.5761225130771,27.0421334490002,1237678791352910423,7757,301,5,160,J013018.29+270231.5,4.88
22.6813773142187,17.6982303848697,1237679169842512758,7845,301,6,93,J013043.52+174153.7,4.88
23.3320784596833,23.6540677590953,1237666274739618483,4843,301,3,86,J013319.70+233914.6,5.0
24.2431597193456,22.8831773869486,1237680069103452450,8055,301,1,126,J013658.36+225259.5,4.95
24.6834760580655,6.82842763191896,1237678803161187194,7760,301,3,116,J013844.03+064942.3,5.13
24.8346663851906,20.4689846194633,1237679541361902237,7932,301,2,165,J013920.34+202808.4,4.8
26.1087408077048,8.58659878884744,1237678905720111805,7784,301,2,369,J014426.10+083511.8,5.48
27.163790885341,-1.45516820308707,1237678890668982519,7780,301,6,83,J014839.31-012718.6,5.08
28.3218955984064,5.09630407160399,1237678662510117689,7727,301,5,255,J015317.25+050546.7,4.83
29.3081624196104,-5.48963810659945,1237679253058618182,7865,301,1,110,J015713.95-052922.8,4.85
29.6820287693017,5.78495511208024,1237670014581408764,5714,301,1,71,J015843.69+054706.0,5.11
30.2602237021399,-5.06916569566269,1237679253595882385,7865,301,2,116,J020102.46-050408.8,4.87
30.4287219208195,-1.89738753511234,1237678881033945854,7778,301,4,520,J020142.89-015350.5,5.03
30.6330666847165,-7.43189190297564,1237679438275740687,7908,301,2,59,J020231.94-072554.7,4.89
31.2653190166024,3.27287964944685,1237678620115861798,7717,301,6,538,J020503.68+031622.3,5.0
31.2772257674515,30.8531507318024,1237678892282741652,7781,301,1,131,J020506.53+305111.2,5.0
33.9409792582845,29.5509521048043,1237680315527791725,8112,301,4,135,J021545.83+293303.5,5.0
34.0423687577706,4.84971037268285,1237678662512607991,7727,301,5,293,J021610.17+045059.0,4.93
35.2722255734778,4.01218684772758,1237678661439390116,7727,301,3,301,J022105.35+040044.1,5.03
36.519768409001,-9.30524388589287,1237652899690119952,1729,301,2,323,J022604.75-091818.8,5.32
37.769846586708,7.28318002048319,1237667229835461320,5065,301,6,124,J023104.77+071658.9,5.33
39.3181926773638,-7.8873219451633,1237653502044275680,1869,301,4,94,J023716.37-075314.3,4.89
41.6137170465044,-3.92691760531585,1237679323401094044,7881,301,4,299,J024627.29-035536.9,4.91
41.6702308614528,5.74124935366886,1237667228226618264,5065,301,3,151,J024640.87+054428.4,4.87
42.6741969425518,-5.42767998565924,1237679439891596342,7908,301,5,139,J025041.81-052539.7,5.06
52.0424017661201,1.08624008743753,1237653000614314775,1752,301,6,208,J032810.18+010510.4,4.96
67.7699377268798,-8.54838811036353,1237674284312626191,6708,301,2,23,J043104.79-083254.1,5.26
67.8792245022976,-4.01473061262452,1237649929174647578,1037,301,5,190,J043131.01-040052.7,4.73
109.075746032708,38.1087087693415,1237663655341786029,4233,301,4,15,J071618.18+380630.9,4.96
109.882639530942,38.2258204506091,1237663549042001441,4208,301,6,25,J071931.84+381332.8,5.34
113.477292293628,45.1315038878682,1237663787951785139,4264,301,3,59,J073354.55+450753.4,4.9
114.107413105677,27.8135101342358,1237657595144570187,2822,301,4,40,J073625.78+274848.7,5.25
114.700167061986,26.2591291226925,1237657593533564680,2822,301,1,34,J073848.04+261532.8,5.32
115.564826771843,21.8396954707699,1237660563502990719,3513,301,5,27,J074215.56+215022.8,5.15
116.313621279801,19.3334768362507,1237660957030024679,3605,301,2,37,J074515.27+192000.5,4.95
119.510204572146,25.0674933645252,1237660344462017580,3462,301,5,63,J075802.45+250403.0,5.14
119.520579222935,38.8722805994736,1237653587943884082,1889,301,4,98,J075804.94+385220.1,5.16
120.33392692178,46.7111569344297,1237651273494365184,1350,301,5,113,J080120.15+464240.1,4.94
120.431840015766,26.7599378206885,1237658191608022002,2961,301,3,38,J080143.64+264535.7,5.03
120.724613760427,33.309160745159,1237657594074236256,2822,301,2,92,J080253.91+331832.9,5.3
121.010130850612,17.137812866178,1237665128518059300,4576,301,4,53,J080402.44+170816.1,4.95
123.102061394027,6.86409182159173,1237661069236437964,3631,301,3,43,J081224.49+065150.7,5.27
123.705919019709,44.66076893849,1237651190280422441,1331,301,2,129,J081449.41+443938.7,5.26
124.638664732754,35.7388768060566,1237657401876415606,2777,301,4,122,J081833.27+354419.9,5.51
124.901801531856,2.05283025945368,1237654604773458953,2126,301,2,38,J081936.42+020309.9,4.89
125.42792636076,34.8201155780293,1237664870280791133,4516,301,3,17,J082142.70+344912.4,5.04
125.629691816672,-2.36655585453983,1237655175466845269,2259,301,1,32,J082231.13-022159.7,4.92
125.833329218117,37.4131126090772,1237657119483167583,2711,301,6,135,J082320.00+372447.2,4.94
126.126525619261,28.3813372563236,1237660342854288350,3462,301,2,107,J082430.36+282252.8,5.28
127.495981740197,5.94345279078298,1237660669268919436,3538,301,2,63,J082959.04+055636.5,4.44
127.973200828111,-0.771554982572423,1237646795993055597,308,301,1,145,J083153.58-004617.5,5.0
129.771786972014,30.2294285285037,1237660765374579798,3560,301,5,151,J083905.22+301346.1,4.81
131.627525082188,-1.72283729019066,1237654897374987328,2194,301,3,143,J084630.61-014322.2,5.02
132.635258227355,37.6926136587351,1237657628438496351,2830,301,2,161,J085032.46+374133.4,4.86
132.81738349985,30.1603110034528,1237661126152356890,3644,301,5,159,J085116.20+300936.6,5.93
134.23928344105,6.84652321066438,1237660668735062824,3538,301,1,109,J085657.43+065047.6,4.94
134.591664711162,5.88180960166847,1237658425153422249,3015,301,6,138,J085822.00+055254.6,4.83
135.120581421484,52.947288953285,1237650279739950008,1119,301,2,16,J090028.93+525650.2,4.93
136.935979159548,11.6424618132436,1237671123761431731,5972,301,3,143,J090744.63+113832.8,6.04
138.925112108547,1.30751241251728,1237674459877672122,6749,301,1,149,J091542.02+011827.1,5.22
139.198464983476,1.68307089729807,1237673708795462578,6574,301,2,152,J091647.63+014059.2,5.07
139.941607434783,1.50617249292552,1237651753455911924,1462,301,3,97,J091945.99+013022.2,5.1
140.45262830276,54.6167556744568,1237653588490060591,1889,301,5,240,J092148.63+543700.3,4.97
140.621999267165,11.1940688186219,1237661924479337333,3830,301,4,158,J092229.29+111138.6,4.9
141.55239565446,56.9044162775218,1237651190824567467,1331,301,3,240,J092612.55+565415.9,4.82
142.196010985027,-2.44916738164672,1237654871067722516,2188,301,2,134,J092847.04-022656.9,5.25
143.858942523424,3.06979282369195,1237654600486945776,2125,301,2,167,J093526.15+030411.2,5.1
144.06519179199,3.23477680039252,1237654604781847423,2126,301,2,166,J093615.66+031405.1,5.12
144.335147503869,0.674035807112265,1237651752384070458,1462,301,1,126,J093720.44+004026.5,5.04
144.433045898505,53.2346488417803,1237654653108290410,2137,301,4,289,J093743.92+531404.5,4.8
145.131823276283,3.2978091677104,1237654604782306476,2126,301,2,173,J094031.64+031752.0,4.93
146.706017187667,43.3312370084197,1237657874331403136,2887,301,4,253,J094649.45+431952.4,5.13
147.989056790933,7.15674419723733,1237660582831784705,3518,301,1,49,J095157.38+070924.2,5.02
148.029061356763,43.5235876271627,1237658204500198169,2964,301,3,149,J095206.98+433124.9,5.15
148.241912532907,16.2870176835767,1237670965389100057,5935,301,4,213,J095258.06+161713.4,5.0
148.294989799569,5.92572089835917,1237658423548706963,3015,301,3,228,J095310.79+055532.6,5.38
149.045565388045,2.44065354209196,1237653665258471447,1907,301,4,177,J095610.94+022626.3,4.65
150.165319288019,4.63097927634134,1237654602100376430,2125,301,5,210,J100039.68+043751.6,4.8
150.864950045439,15.6363412937939,1237668496845111956,5360,301,6,37,J100327.59+153810.8,5.0
151.691506661278,-2.94819223748464,1237654870535045751,2188,301,1,198,J100645.96-025653.6,4.93
152.117909772901,-2.20830347270903,1237654871608984212,2188,301,3,201,J100828.30-021229.8,5.03
152.185003380904,10.8043778425839,1237661945946899098,3835,301,4,47,J100844.40+104815.7,5.18
156.757440550344,37.7278425061996,1237664670046618582,4469,301,6,302,J102701.79+374340.2,4.9
157.055933416176,38.1553466302158,1237661382239715613,3704,301,2,158,J102813.43+380919.2,5.37
157.118762875944,11.3189925403148,1237661950242652695,3836,301,4,59,J102828.51+111908.4,5.12
157.62974486636,-2.51235722636448,1237654897386389946,2194,301,3,317,J103031.14-023044.4,4.92
157.952054167021,4.61497444333368,1237654601566847818,2125,301,4,261,J103148.50+043653.8,4.96
159.196662672242,8.29288835758715,1237658491733476153,3031,301,2,261,J103647.20+081734.3,5.05
160.056073856823,4.99776189347923,1237654602104636498,2125,301,5,275,J104013.46+045951.9,5.39
160.451623174128,6.78929918448068,1237658423554016047,3015,301,3,309,J104148.39+064721.5,4.87
160.455351088172,15.3525522445765,1237668494701560775,5360,301,2,97,J104149.29+152109.3,5.42
160.744851008098,0.278869141786506,1237648721759175623,756,301,4,300,J104258.75+001643.8,4.99
162.44158057644,10.3963660205571,1237671932819014502,6160,301,6,38,J104945.98+102346.9,5.0
164.163415493367,5.61738622549335,1237654602643342078,2125,301,6,303,J105639.21+053702.5,5.19
165.112152635296,48.8247844175643,1237657874874303067,2887,301,5,345,J110026.94+484929.1,5.2
166.471522827378,0.992838066188024,1237651836669067836,1481,301,6,69,J110553.17+005934.1,5.12
167.022824117953,4.57959472279958,1237654605328745032,2126,301,3,319,J110805.48+043446.5,5.16
167.052608935515,15.3564734433,1237661070866252784,3631,301,6,336,J110812.62+152123.2,4.95
167.798870905854,5.60715738000768,1237654606402880346,2126,301,5,325,J111111.72+053625.7,5.24
167.931663519256,-1.628816253156,1237650371550380904,1140,301,5,100,J111143.59-013743.8,5.24
168.757371571528,51.6178387176464,1237657857143735095,2883,301,4,134,J111501.77+513704.0,5.14
168.9410087108,-0.406704083222716,1237661039172780508,3624,301,3,60,J111545.83-002424.2,4.94
169.662918430612,3.72385679080794,1237655123929006826,2247,301,1,59,J111839.10+034326.0,4.88
171.525813035888,37.5608001498622,1237664819820364879,4504,301,5,100,J112606.18+373338.9,4.87
172.244588843402,-5.8460768034095,1237671142014780807,5976,301,5,139,J112858.70-055045.8,5.53
172.264748867916,2.61857656846461,1237651754006938452,1462,301,4,313,J112903.54+023706.9,5.04
172.301844006135,-0.171731465186321,1237648721227351177,756,301,3,377,J112912.44-001018.3,4.89
173.307851626287,39.8938194881132,1237662225674208486,3900,301,5,315,J113313.88+395337.7,4.75
175.212928161308,31.487764241047,1237665367972905787,4632,301,2,212,J114051.10+312915.9,5.07
175.484212163494,7.05557624898756,1237661971181405203,3841,301,3,71,J114156.21+070320.0,4.97
176.054515369956,40.1837538493191,1237662225675125674,3900,301,5,329,J114413.09+401101.5,5.01
176.097258894359,0.188268203547416,1237671141481055623,5976,301,4,187,J114423.35+001117.7,4.98
176.137202950115,-3.42510949731406,1237650369406501000,1140,301,1,155,J114432.93-032530.4,5.54
179.170512984609,35.924678966378,1237665026513634352,4552,301,6,69,J115640.93+355528.8,4.88
179.90342009292,6.05155853681056,1237671140947263600,5976,301,3,234,J115936.82+060305.7,5.77
180.131364150728,45.075261154083,1237661872938943419,3818,301,4,146,J120031.52+450430.9,4.8
182.376829301187,-3.51698536377217,1237650369409254261,1140,301,1,197,J120930.44-033101.3,4.98
182.75729579226,16.188679526892,1237664292074946710,4381,301,6,80,J121101.75+161119.2,5.14
183.334223865381,36.8286655427694,1237664337181541190,4392,301,2,224,J121320.21+364943.2,4.86
183.990619183046,-1.1276823815352,1237654668676694628,2141,301,1,276,J121557.76-010739.7,5.09
184.101220687734,-2.54341474551827,1237650370483716971,1140,301,3,208,J121624.30-023236.3,5.28
185.11560261531,6.71715660367378,1237661970648728534,3841,301,2,135,J122027.74+064301.8,5.37
185.454682978073,15.9644856264061,1237662526839784246,3970,301,6,25,J122149.13+155752.1,4.75
187.029185909895,1.2046320335407,1237648675581001762,745,301,6,189,J122807.00+011216.6,5.13
187.13452184337,34.3929269265214,1237665024368968743,4552,301,2,112,J122832.28+342334.5,4.82
